jgd_id;jgd_old_id;jgd_tag;jgd_nome;jgd_pis_id
368;61794d24143c37878b23ade8;Akara;;9
369;628cdabac437fde7e02d825e;Akrasul;;6
370;628cd8b6da9d7ca1c7bb0afd;Akwack;;10
371;627b91fada9d7ca1c7baeaf2;ALeon;;7
372;6180103ff8090ec74528a600;Aljezz;;11
373;5f3d8fdd95f40596eae244d9;Alpe;;12
374;5f3d8fdd95f40596eae244ca;Aris;;13
375;5fcbf72a0fed6b419c84cb82;arssego;;12
376;620a7ee7da9d7ca1c7ba8493;Aruphy;;14
377;6266dd89c437fde7e02d4944;Aryan Cr7;;10
378;62712fc0da9d7ca1c7badcbc;Atlantisee_;;11
379;5faeab2ee9ce4ed313ea60e5;Awdaz;;12
380;627b9370c437fde7e02d6361;Ayua;;6
381;5f3d8fdd95f40596eae24565;Azmo;;15
382;6162f9d9f8090ec74528737c;BaLLooN;;5
383;60be1869490bd8649dd3084d;Bang DuLz;;14
384;61794d24143c37878b23ade7;battaash;;9
385;61ee804cc437fde7e02cdb28;Bazmo;;8
386;5f3d8fdd95f40596eae24339;Bemmz;Bernardo Siqueira Marta;12
387;6266d20bda9d7ca1c7bacdcd;Bigrooster;;8
388;619e616e143c37878b23f033;Billyy;;11
389;61e56630da9d7ca1c7ba5006;Blazer;;11
390;60b0d16d6f276bd52a382ba8;Bliss;;13
391;5f3d8fdd95f40596eae242a9;Blue;Kel Joe Ang;5
392;61800faa143c37878b23bd14;BlueDragonn;;11
393;5fdc33daaf4622aaaa8d1d1d;boomer;;8
394;618956cbf8090ec74528ba6b;Bori;;7
395;61658b11143c37878b238c07;Bougee;;8
396;61ebd951da9d7ca1c7ba5777;boy974s;;11
397;5f3d8fdd95f40596eae24548;Bratiche;;16
398;5f5ae8a8c6cbf591c568a621;Brenox;Joao Fernandes;12
399;617950a2f8090ec7452895a4;Broski;;10
400;600a35953079570c02768f94;Bubz;;8
401;61e56630da9d7ca1c7ba5007;Bunchee;;11
402;6163206ef8090ec745287461;Bustanji;;17
403;5f3d8fdd95f40596eae2454c;Butters;;8
404;5f77ad09a0cb87e0663bc1bf;BuZayed;;18
405;5fc70265521c2b728acff32d;c0Re;;19
406;600a36013079570c0276c047;caden;;12
407;61794dadf8090ec7452894f3;Callux;;10
408;6162f9d9f8090ec74528737d;"Ch/&k$""!";;7
409;5f3d8fdd95f40596eae23f19;Chaos Adm;;10
410;627b92f1c437fde7e02d6336;CheeseCake;;10
411;627b952ac437fde7e02d63c4;ChronoSnow;;7
412;613bafa7143c37878b236855;civex;Tom Grindell;45
413;621ca419c437fde7e02d0f54;ckeno;;13
414;61e56690da9d7ca1c7ba501e;claude974;;11
415;627b86f1da9d7ca1c7bae9c5;Comet;;8
416;6283a688c437fde7e02d6a13;Commutator;Shantanu Modak;7
417;6007479725dd47da00ef03ec;Crazey;;8
418;61800faa143c37878b23bd12;Creativix4;;11
419;6083837059c52797c6784167;Crs;;20
420;6163206ef8090ec745287460;Cyan.;;17
421;626d53e8da9d7ca1c7bad59e;Cyan.;;21
422;627b8a24da9d7ca1c7baea44;CYRAX;;8
423;60c8613788116f536df969c7;DabboD;;6
424;6162fcdbf8090ec7452873dd;DabboD14;;6
425;618960d2143c37878b23d00c;Dadarr;;14
426;6067a5f4cf18b166eaa55c43;Dam;;16
427;61dc141cda9d7ca1c7ba3fa8;Damo;;8
428;5f77af56a0cb87e0663bc4f7;Danielito;;19
429;605d19814d63e1b16e2ff63b;Dann;;7
430;6051090c2629ffaa11f79424;dappluto;;12
431;6162fc0ff8090ec7452873b9;DarkElimination;;9
432;6162fcdbf8090ec7452873de;David;;6
433;628cd6ebc437fde7e02d813e;davidnicholai;;6
434;61e55ebec437fde7e02ccb00;davindson;;12
435;6266e0aada9d7ca1c7bad083;DDilsta;;22
436;61801932f8090ec74528a6b8;Deliivery_God;;12
437;5f3d8fdd95f40596eae242a7;Derk;Derrick Delos Reyes;6
438;6162fd21f8090ec7452873ee;diesalot;;10
439;619e616e143c37878b23f032;Dillawave;;11
440;61795310f8090ec7452895bf;distrion;;23
441;6162fa9af8090ec74528738c;Dizzo;;10
442;600a36013079570c0276c048;dreevo;;12
443;5f3d8fdd95f40596eae23f41;DumbWaysToDie;;7
444;6284c122da9d7ca1c7baf69a;DylaN;;12
445;61658b11143c37878b238c08;Eckey;;8
446;61794cf8f8090ec7452894c7;Engee;;10
447;6024a1422d55a46a83a2b65b;Eris;;13
448;628cd7fcc437fde7e02d818d;Ethanhunt927;;10
449;61801932f8090ec74528a6b9;Eygvi;;12
450;6193d275143c37878b23dc1f;F2Hadiv;;18
451;6271313eda9d7ca1c7badce7;fantasy.;;11
452;5f3d8fdd95f40596eae23f1a;Fibo;;10
453;620a847dda9d7ca1c7ba8599;Fizz;;5
454;6266df65c437fde7e02d49ac;flare63;;6
455;619e612ff8090ec74528dbc9;Flem de joue;;11
456;60500f42097037e8dbbea67d;flip;;12
457;620a7ee7da9d7ca1c7ba8492;Frederon;;14
458;5fab3e4665a68fabf15a7191;Freeze;;8
459;60be0f77490bd8649dd30796;Friizy;;10
460;628cd866c437fde7e02d81ac;Frwz;;14
461;5f3d8fdd95f40596eae240e7;GaTox;;19
462;5fdc33a6af4622aaaa8cf8f3;geb.;;8
463;61895700f8090ec74528ba73;Ghostfire;;6
464;628cdabac437fde7e02d825f;Glisters_;;6
465;617953b7143c37878b23aeb5;Hamadi;;24
466;60be18279fc1a47e5f111494;hamtawo;;14
467;5f3d8fdd95f40596eae24508;Happypingoo;;8
468;6284dec7da9d7ca1c7baf928;HeatzyRL;;11
469;619e612ff8090ec74528dbca;HeksLyx;;11
470;627b92f1c437fde7e02d6335;hencov1d;;25
471;61ee794dda9d7ca1c7ba5e39;Hexa;;9
472;61daf533da9d7ca1c7ba3e00;Hexa is Tired;;9
473;60be08ea490bd8649dd3073f;Hireo;Joaquin Abesamis;6
474;61ee7b4eda9d7ca1c7ba5ea1;Hirodane;;10
475;61895535143c37878b23cf91;HolyTrinity;;10
476;6266d884da9d7ca1c7bacee0;Humble;;17
477;600a35593079570c02767514;igarashI;;12
478;6266e076c437fde7e02d49e0;Immo.;;14
479;616d8dd0f8090ec745288365;ipa;;16
480;61ee7dd4da9d7ca1c7ba5ee3;Iris.;;8
481;617953b7143c37878b23aeb7;IslamDR03;;24
482;61794c70143c37878b23adc2;Itsuki;;6
483;5f3d8fdd95f40596eae24211;Ivan.;;26
485;6189628ff8090ec74528bac8;izzikan;;7
486;6177fed0143c37878b23ac48;Jack;;8
487;612a57b387f814e9fb00023e;Jackay;;8
488;61ee7dd4da9d7ca1c7ba5ee4;Jackko;;8
489;5f3d8fdd95f40596eae242c4;Jaffa;;8
490;621c9634da9d7ca1c7ba9345;jakes;;12
491;61794c34f8090ec7452894a3;Jamity.;;27
492;61794b5f143c37878b23ad90;jayk;;10
493;61950fbf143c37878b23e3b1;jbinho.;;12
494;625d6b7ec437fde7e02d3b72;JG;;12
495;5f3d8fdd95f40596eae24552;Jimby;;8
496;620a7c2fc437fde7e02cff2b;jinn;;17
497;6284c398da9d7ca1c7baf712;jmp;;16
498;612c8f0887f814e9fb00043b;Jodelva;;8
499;61695feaf8090ec745287a98;john;;28
500;625d6b58da9d7ca1c7bac23c;Joonn;;12
501;61951219f8090ec74528ceea;joryx;;8
502;5fdc33d4af4622aaaa8d1784;Joshuadx7;;15
503;61895570f8090ec74528ba2e;Joyy;;10
504;5f3d8fdd95f40596eae24137;JPow;;13
505;613bb45ef8090ec7452852fb;juck;;8
