stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
132,2.27,0.61,1.7,0.55,375.89,16.37,393.12,47.64,2295.78,412.01,1528.07,211.72,767.71,200.3,18.47,2.61,67.05,17.42,1491.59,503526.07,2825.93,2743.45,2905.15,3688.48,0.74,0.75,47.83,1
133,1.91,0.45,1.7,0.42,334.91,14.14,290.79,52.33,1888.67,363.0,1126.18,180.18,762.48,182.82,14.58,2.39,66.06,16.3,1452.18,504610.24,3041.12,2987.85,3089.91,3783.82,0.48,0.73,44.55,2
134,2.56,0.74,1.28,0.56,345.94,19.69,382.15,48.25,2332.72,516.76,1612.46,306.99,720.26,209.77,19.26,3.7,62.25,18.01,1544.18,530733.09,2922.05,2841.57,2996.39,3711.25,1.07,0.8,40.22,1
135,2.07,0.63,1.42,0.3,314.56,22.67,350.91,47.2,1999.7,458.28,1243.07,254.88,756.63,203.4,14.72,3.12,67.3,17.88,1478.09,489509.0,2870.05,2791.53,2935.47,3625.79,0.53,0.95,33.02,1
136,2.39,0.82,1.32,0.53,361.22,25.9,404.18,49.87,2440.72,490.47,1714.03,287.91,726.68,202.55,20.93,3.47,59.7,16.31,1579.69,541007.59,2944.46,2835.86,3040.24,3801.29,1.09,0.99,44.19,1
137,2.13,0.65,1.52,0.39,340.26,24.35,449.17,48.19,2628.17,694.13,1855.43,442.52,772.74,251.61,21.52,5.04,67.35,22.04,1603.26,547315.3,3046.7,2929.3,3164.61,3842.35,1.57,0.78,43.41,0
138,2.67,0.95,1.76,0.29,399.57,20.24,396.14,52.3,2341.71,446.67,1785.14,308.0,556.57,138.67,22.76,3.76,43.81,11.0,1544.76,512829.76,3123.38,3033.19,3198.05,3858.38,0.62,0.52,44.45,1
139,2.48,0.62,1.24,0.52,327.57,17.86,387.33,57.37,2467.57,618.52,1719.81,383.48,747.76,235.05,21.9,4.9,66.95,20.29,1548.24,528992.86,2867.52,2704.1,3016.71,3678.43,0.43,0.76,48.02,0
140,1.89,0.84,1.11,0.37,309.26,32.28,396.21,46.56,2303.95,485.74,1472.79,265.95,831.16,219.79,17.42,3.21,70.63,18.68,1473.68,487542.0,2893.63,2821.79,2966.79,3607.95,0.89,0.47,48.95,1
141,1.71,0.43,1.14,0.14,239.86,4.52,300.57,42.53,1782.29,422.0,1050.71,237.0,731.57,185.0,11.71,2.71,62.86,16.29,1471.57,488702.86,2840.29,2666.14,2960.57,3634.14,0.0,0.57,43.33,2
142,2.67,0.76,1.18,0.64,341.48,33.0,372.3,48.83,2159.94,527.7,1370.0,274.21,789.94,253.48,16.15,3.21,67.45,20.52,1442.0,476054.52,2928.03,2850.33,3017.3,3614.3,0.61,0.73,57.4,1
143,2.6,0.87,0.8,0.43,307.03,26.43,374.33,44.44,2257.37,543.93,1448.4,286.0,808.97,257.93,16.7,3.5,69.8,22.27,1506.23,508463.37,2795.07,2722.6,2872.1,3475.57,1.07,0.73,42.82,1
